index,RegionName,CountyName,RegionType,StateName,State,StateCodeFIPS,county_fips,1/1/17,2/1/17,3/1/17,4/1/17,5/1/17,6/1/17,7/1/17,8/1/17,9/1/17,10/1/17,11/1/17,12/1/17,1/1/18,2/1/18,3/1/18,4/1/18,5/1/18,6/1/18,7/1/18,8/1/18,9/1/18,10/1/18,11/1/18,12/1/18,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,7/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,11/1/21,12/1/21,1/1/22,2/1/22,3/1/22,4/1/22,5/1/22,6/1/22,7/1/22,8/1/22,9/1/22,10/1/22,11/1/22,12/1/22,1/1/23,2/1/23,3/1/23,4/1/23,5/1/23,6/1/23,7/1/23,8/1/23,9/1/23,10/1/23,11/1/23,12/1/23
"Unemployment Rate in Salt Lake County, UT",Salt Lake County,Salt Lake,county,UT,UT,49,49035,3.1,3.4,3.2,3,2.9,3.3,3.1,3.3,2.8,2.6,2.7,2.6,3.1,3.2,3.1,2.9,2.7,3.1,2.8,3,2.5,2.5,2.5,2.5,2.8,2.9,2.8,2.5,2.4,2.7,2.5,2.5,2,2.1,2.1,2.1,2.5,2.5,2.9,10.6,8.6,7.4,6.7,5.4,4.8,4,3.7,3.5,3.7,3.7,3.4,3.1,2.8,3.2,3,2.8,2.2,2.1,2,1.9,2.5,2.5,2.4,2.3,2.2,2.6,2.4,2.6,2.2,2.3,2.3,2.2,2.6,2.8,2.7,2.4,2.6,2.8,2.7,2.9,2.6,2.6,2.5,2.5
"Unemployment Rate in San Bernardino County, CA",San Bernardino County,San Bernardino,county,CA,CA,6,6071,5.7,5.4,5.2,4.8,4.6,5.3,5.6,5.3,4.7,4.5,4.3,4.1,4.5,4.4,4.1,3.8,3.6,4.5,4.5,4.3,3.9,4,3.8,3.9,4.5,4.1,4.1,3.5,3.4,4.1,4.4,4.1,3.6,3.7,3.6,3.4,3.9,3.7,5.5,14.4,14.4,12.8,12.7,10.8,10.3,9.3,9.1,9,8.9,8.7,8.4,8.2,7.6,8.5,8,7.6,6.5,6.2,5.5,5,5.5,4.8,4.3,3.8,3.5,4.1,4.2,4.2,3.8,4,4.1,3.7,4.3,4.4,4.3,3.9,4.1,4.8,4.8,5.2,4.9,5.1,5,4.9
"Unemployment Rate in San Diego County, CA",San Diego County,San Diego,county,CA,CA,6,6073,4.7,4.4,4.3,3.9,3.8,4.3,4.5,4.3,3.8,3.7,3.6,3.4,3.7,3.5,3.4,3.1,2.9,3.6,3.6,3.5,3.2,3.3,3.3,3.3,3.9,3.4,3.5,2.9,2.8,3.4,3.6,3.4,3,3.1,3.1,2.9,3.4,3.2,4.7,16,15.9,13.3,12.4,10.3,9.5,8.3,8,8.2,8.4,7.8,7.4,7.2,6.7,7.3,6.9,6.5,5.5,5.2,4.7,4.2,4.7,4.1,3.6,3.2,2.9,3.5,3.4,3.6,3.2,3.3,3.4,3.1,3.7,3.7,3.5,3.2,3.3,3.9,4,4.4,4.2,4.3,4.3,4.3
"Unemployment Rate in San Francisco County/City, CA",San Francisco County/City,San Francisco,county,CA,CA,6,6075,3.4,3.2,3,2.8,2.8,3.2,3.2,3.2,2.8,2.7,2.6,2.5,2.8,2.6,2.5,2.2,2.1,2.6,2.5,2.5,2.3,2.3,2.2,2.2,2.7,2.4,2.4,2,1.9,2.3,2.4,2.3,2,2.1,2.1,2,2.3,2.2,3.5,13.1,13,11.9,11,9.1,8.8,7.5,6.9,6.6,6.5,6.1,5.9,5.9,5.4,5.9,5.4,5.1,4.2,4,3.5,3.1,3.5,3.1,2.8,2.4,2.2,2.5,2.5,2.6,2.3,2.4,2.5,2.3,2.8,2.9,2.9,2.7,2.9,3.3,3.4,3.8,3.5,3.7,3.6,3.6
"Unemployment Rate in San Mateo County, CA",San Mateo County,San Mateo,county,CA,CA,6,6081,3.1,3,2.8,2.6,2.5,3,3.1,3,2.6,2.5,2.4,2.3,2.5,2.4,2.3,2.1,1.9,2.4,2.4,2.4,2.2,2.2,2.1,2.1,2.5,2.2,2.3,1.8,1.8,2.2,2.3,2.2,1.9,2,2,1.9,2.2,2.1,3.1,11.8,11.4,10.3,9.3,7.8,7.4,6.4,6.2,5.9,5.9,5.6,5.4,5.3,4.8,5.3,4.9,4.7,3.9,3.7,3.3,2.9,3.3,2.9,2.6,2.3,2.1,2.5,2.4,2.5,2.2,2.3,2.4,2.2,2.7,2.8,2.7,2.5,2.7,3.1,3.1,3.5,3.3,3.4,3.4,3.3
"Unemployment Rate in Santa Clara County, CA",Santa Clara County,Santa Clara,county,CA,CA,6,6085,3.8,3.6,3.4,3.2,3,3.4,3.5,3.5,3,2.9,2.8,2.7,3,2.9,2.7,2.5,2.3,2.8,2.8,2.7,2.5,2.5,2.5,2.5,3,2.7,2.7,2.3,2.2,2.6,2.7,2.7,2.3,2.4,2.4,2.3,2.7,2.5,3.8,12.3,11.5,10.2,9.3,7.7,7.3,6.4,6.1,6,6,5.8,5.5,5.4,4.9,5.5,5.1,4.9,4.1,3.9,3.5,3.1,3.5,3.2,2.8,2.5,2.3,2.7,2.6,2.7,2.4,2.5,2.6,2.4,3,3.1,3.1,2.9,3.1,3.6,3.7,4,3.8,4,3.9,3.9
"Unemployment Rate in Sarasota County, FL",Sarasota County,Sarasota,county,FL,FL,12,12115,4.7,4.3,4,3.8,3.9,4.1,4.2,4.3,3.9,3.8,3.7,3.5,3.9,3.6,3.4,3.2,3.2,3.8,3.7,3.6,3.4,3.3,3.3,3.2,3.7,3.2,3.2,2.9,3,3.5,3.5,3.5,3.1,3,2.9,2.7,3.2,2.7,4.2,13.8,13,9.9,10.3,7.2,6.8,5.7,5.4,5.1,4.9,4.5,4.4,3.9,3.8,4.5,4.3,4.2,3.8,3.5,3.4,2.9,3.7,3.2,2.9,2.6,2.7,3.2,3,3,2.9,3.1,2.9,2.6,3,2.8,2.7,2.4,2.8,3.1,3.2,3.4,3.4,3.3,3.2,3
"Unemployment Rate in Shelby County, TN",Shelby County,Shelby,county,TN,TN,47,47157,5.6,5.1,4.8,4.1,3.8,4.8,4.5,4.2,3.8,3.9,3.8,3.8,4.3,4.2,4.1,3.7,3.8,4.9,4.6,4.3,4.1,4.1,3.7,3.8,4.5,4,4,3.5,3.7,4.5,4.3,3.9,3.8,3.8,3.7,3.7,4.2,3.9,4.5,13,12.3,13.8,14.8,12.1,11,9.3,8.3,7.9,8.8,8.2,7.8,7.4,7.4,8.7,8.2,7.1,5.8,5.3,4.6,4.2,5.2,4.8,4.3,4.1,4,5.1,5,4.9,4.4,4.6,4.1,3.8,4.6,4.5,4.3,3.6,4,4.8,4.7,4.7,4.3,4.5,4.1,4
"Unemployment Rate in Snohomish County, WA",Snohomish County,Snohomish,county,WA,WA,53,53061,4.2,3.9,3.9,3.4,3.7,3.9,4.2,4.3,4.2,4,3.9,3.9,4.4,3.8,3.6,3,3.2,3.7,3.7,3.5,3.7,3.5,3.2,3.5,3.9,3.4,3.2,2.4,2.8,2.8,3.2,3,2.8,2.7,2.3,2.6,3,2.3,5.4,19.6,15,12.2,11,8.8,8.3,7.3,6.4,6.6,7.1,5.8,5.7,4.9,4.9,5.7,5.3,4.7,4.5,3.8,3.3,3.2,3.9,3.1,3,2.7,2.9,3.4,3.8,3.7,3.6,3.7,3.3,3.2,3.7,3,3.3,2.8,3.4,3.6,3.6,3.6,3.7,3.8,3.6,3.6
"Unemployment Rate in Spokane County, WA",Spokane County,Spokane,county,WA,WA,53,53063,6.5,6.6,5.9,5.1,4.8,4.9,5,5.2,4.7,4.5,4.9,5.5,6.1,6.5,5.9,5.1,4.5,4.9,4.7,5,4.4,4.6,5,5.7,6.6,6.8,6.5,5.2,4.7,5.2,5.1,5.2,4.3,4.3,4.5,4.6,5.4,5.3,5.8,16.3,14,11,10.6,8.5,7.4,6.1,6.5,7.3,7.4,7.6,6.6,5.4,5.1,5.5,5.2,5.3,4.6,4.1,4,4.2,5.3,5.4,4.9,4.1,4.1,4.3,4,4.8,4,4.1,4.7,4.9,5.2,5.5,4.5,3.6,3.3,3.5,3.7,4.4,3.8,4.1,4.3,5
"Unemployment Rate in St. Johns County, FL",St. Johns County,St. Johns,county,FL,FL,12,12109,4.1,3.7,3.4,3.2,3.3,3.5,3.6,3.6,3.3,3.2,3.3,3,3.4,3.1,3,2.8,2.7,3.2,3.1,3,2.8,2.9,2.8,2.8,3.3,2.8,2.8,2.5,2.5,2.9,3,2.8,2.6,2.5,2.5,2.3,2.7,2.3,3.5,10.2,9.6,7.6,7.9,5.3,4.9,4.1,4,3.8,3.9,3.4,3.3,3.1,2.9,3.5,3.4,3.3,2.9,2.8,2.7,2.3,2.9,2.6,2.4,2.1,2.3,2.6,2.5,2.5,2.4,2.4,2.4,2,2.5,2.5,2.4,2.2,2.5,2.8,2.8,3,2.9,2.9,2.8,2.7
"Unemployment Rate in St. Louis County, MO",St. Louis County,St. Louis,county,MO,MO,29,29189,3.9,4.1,3.8,3.5,3.5,3.5,3.6,3.7,3,2.5,2.9,3,3.5,3.5,3.5,2.9,2.9,3.1,3.3,3.2,2.5,2.4,2.5,2.8,3.5,3.3,3.5,2.7,2.9,3,3.2,3.2,2.5,2.7,2.8,2.9,3.4,3,3.8,10.2,10.4,9.4,8.6,7,5.9,5,5,5.3,5.6,5.2,5.1,4.7,4.7,4.8,4.6,4.3,3.2,3.2,2.8,2.8,3.5,2.9,2.9,2.1,2.3,2.3,2.7,2.8,2,2.4,2.4,2.4,3,3,3,2.6,3.1,3.1,3.2,3.2,2.7,3,2.7,2.8
"Unemployment Rate in Suffolk County, NY",Suffolk County,Suffolk,county,NY,NY,36,36103,4.9,5.2,4.5,4.1,4,4.2,4.7,4.8,4.2,4.2,4.3,4.3,4.9,5.1,4.4,3.7,3.3,3.6,3.9,3.9,3.2,3.2,3.1,3.3,4.2,4,3.7,3,3,3.2,3.8,3.9,3.2,3.3,3.4,3.6,4.1,4.1,4.7,18.5,14.2,11.4,10.2,7.9,6.8,5.5,5.2,5.3,6.1,6.4,5.8,5.1,4.6,5,4.8,4.5,3.8,3.4,3.2,2.8,3.8,4,3.5,2.9,2.9,3.1,3.4,3.5,2.9,2.7,2.8,2.8,3.6,3.7,3.3,2.7,2.9,3.1,3.4,3.7,3.4,3.5,3.6,3.7
"Unemployment Rate in Tarrant County, TX",Tarrant County,Tarrant,county,TX,TX,48,48439,4.2,4.3,4,3.6,3.6,4,3.9,4,3.5,3.3,3.4,3.3,3.7,3.7,3.6,3.3,3.3,3.9,3.8,3.6,3.5,3.3,3.3,3.3,4.2,3.5,3.3,2.9,3,3.6,3.6,3.5,3.2,3.2,3.1,2.9,3.3,3.1,5,12.7,12.1,10.3,9.3,7.5,7.2,6.3,6.3,6.2,6.5,6.5,6.2,5.6,5.3,6,5.5,5.1,4.7,4.4,4.1,3.7,4.2,4,3.5,3.3,3.4,3.9,3.8,3.8,3.6,3.6,3.6,3.4,3.9,4.1,3.8,3.3,3.6,3.9,4,4,3.8,3.6,3.4,3.3
"Unemployment Rate in Travis County, TX",Travis County,Travis,county,TX,TX,48,48453,3.5,3.5,3.3,2.9,3,3.2,3.2,3.2,2.9,2.7,2.8,2.7,3,3.1,3,2.7,2.6,3.1,3.1,3,2.9,2.7,2.7,2.7,3.2,2.9,2.6,2.3,2.3,2.8,2.9,2.8,2.6,2.5,2.4,2.3,2.7,2.5,4,11.8,10.8,9,8.2,6.5,6.2,5.2,5.1,5,5.2,5.1,4.8,4.3,4.1,4.5,4.1,3.8,3.6,3.4,3.2,2.8,3.3,3.1,2.7,2.5,2.6,3,2.9,2.9,2.8,2.8,2.8,2.7,3.2,3.5,3.3,2.9,3.2,3.4,3.5,3.6,3.4,3.2,3,2.9
"Unemployment Rate in Ventura County, CA",Ventura County,Ventura,county,CA,CA,6,6111,5.4,5,4.7,4.2,4,4.5,4.8,4.9,4.4,4.2,4.2,4.1,4.4,4.1,3.8,3.4,3.1,3.9,3.9,4,3.8,3.8,3.8,3.9,4.5,3.9,3.8,3.2,3,3.6,3.8,3.9,3.4,3.5,3.6,3.5,4,3.7,5.3,14.7,13.9,11.8,11.3,9.3,8.7,7.6,7.5,7.6,7.9,7.4,6.9,6.7,6.1,6.9,6.6,6.3,5.4,5.1,4.7,4.4,4.9,4.3,3.8,3.3,3,3.5,3.6,3.8,3.5,3.7,3.9,3.6,4.2,4.1,3.9,3.4,3.5,4.1,4.3,4.8,4.6,4.8,4.8,4.8
"Unemployment Rate in Wake County, NC",Wake County,Wake,county,NC,NC,37,37183,4.3,4.1,3.9,3.6,3.9,4.1,4.2,4.3,3.7,3.6,3.7,3.5,3.7,3.7,3.5,3.2,3.3,3.8,3.7,3.6,3.1,3.3,3.2,3.3,3.9,3.6,3.6,3.1,3.4,3.7,3.7,3.7,3,3.1,3.1,3,3.5,3.3,4,12,10.6,9,8.2,6.1,5.5,4.8,4.8,4.9,5.2,5,4.5,4.2,4.2,4.5,4.2,4.1,3.4,3.4,3.2,2.8,3.3,3.2,3,2.8,3,3.3,3.3,3.5,2.9,3.1,3.1,2.7,3.1,3.1,3,2.6,3,3.1,3.1,3.3,2.8,3,3,2.9
"Unemployment Rate in Watauga County, NC",Watauga County,Watauga,county,NC,NC,37,37189,4.6,4.4,4.5,3.7,4.1,4.4,4.5,4.5,3.6,3.5,3.6,3.5,3.9,4,3.8,3.3,3.5,4.1,3.7,3.7,2.9,3.2,3.2,3.4,4.1,3.9,3.9,3,3.5,3.8,3.8,3.8,2.9,3,2.8,2.8,3.3,3.2,4.1,14.7,12.2,8.7,7.6,5.1,4.5,4,4.2,4.5,4.8,4.6,4,3.7,4,4.4,4.3,4.1,3.1,3.2,3.1,2.6,3.2,3.2,2.9,3,3.4,3.8,3.9,3.8,3.1,3.3,3.2,2.7,3.2,3,3.1,2.7,3.1,3.2,3.4,3.3,2.8,2.9,2.8,2.6
"Unemployment Rate in Westchester County, NY",Westchester County,Westchester,county,NY,NY,36,36119,4.7,5,4.3,4.2,4.2,4.5,4.7,4.8,4.5,4.4,4.3,4.2,4.6,4.9,4.2,3.7,3.5,3.9,4,4,3.4,3.4,3.3,3.4,3.9,3.9,3.6,3.1,3.2,3.5,3.9,4,3.5,3.5,3.5,3.5,3.9,4,4.6,15.9,12.8,11.2,10.6,8.5,7.8,6.1,5.7,5.8,6.4,6.6,6,5.3,4.8,5.3,5.1,4.8,4.1,3.7,3.3,2.9,3.7,3.8,3.4,2.9,2.9,3.2,3.5,3.6,2.9,2.7,2.8,2.7,3.4,3.4,3,2.6,3,3.2,3.4,3.8,3.6,3.7,3.6,3.7
"Unemployment Rate in Worcester County, MA",Worcester County,Worcester,county,MA,MA,25,25027,4.7,4.6,4.2,3.8,3.9,4.2,4.4,4.1,3.8,3.5,3.4,3.5,4.5,4.3,4,3.5,3.5,4,4,3.7,3.4,3.1,2.9,3.3,4.2,3.9,3.6,2.9,3.1,3.4,3.6,3.3,3,2.8,2.7,2.9,3.7,3.5,3.8,16.5,14.3,14.2,12.7,10.1,9.5,8,7.5,7.4,7.5,7.1,6.6,5.8,5.5,6.1,5.9,5.3,4.7,4.3,3.8,3.7,4.7,4.4,4,3.4,3.6,4,4.1,4.1,3.6,3.4,3.3,3.4,4.2,4.4,4,3,3.2,3.5,3.6,3.5,3.2,3.1,2.9,3.3
