index,RegionName,CountyName,RegionType,StateName,State,StateCodeFIPS,county_fips,1/1/17,2/1/17,3/1/17,4/1/17,5/1/17,6/1/17,7/1/17,8/1/17,9/1/17,10/1/17,11/1/17,12/1/17,1/1/18,2/1/18,3/1/18,4/1/18,5/1/18,6/1/18,7/1/18,8/1/18,9/1/18,10/1/18,11/1/18,12/1/18,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,7/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,11/1/21,12/1/21,1/1/22,2/1/22,3/1/22,4/1/22,5/1/22,6/1/22,7/1/22,8/1/22,9/1/22,10/1/22,11/1/22,12/1/22,1/1/23,2/1/23,3/1/23,4/1/23,5/1/23,6/1/23,7/1/23,8/1/23,9/1/23,10/1/23,11/1/23,12/1/23
"Unemployment Rate in Miami-Dade County, FL",Miami-Dade County,Dade,county,FL,FL,12,12025,5.2,5,5.2,4.7,4.7,4.8,4.9,5.1,4.8,4.4,4.3,4.3,4.2,4,4.3,3.7,3.5,3.7,3.9,3.7,3.5,3.3,3.1,3.3,3.3,2.9,3.2,2.9,2.9,3,3.2,3.2,2.9,2.7,2.4,2.4,2.3,2.1,3.1,11.1,12,11.3,11.1,9.9,10.3,9.2,8.8,8.9,8.1,7.4,7.4,6.6,6,6.1,5.5,5.2,4.4,3.7,3.3,3,3.2,2.8,2.9,2.6,2.5,2.6,2.8,2.9,2.6,2.4,2.1,2.1,1.9,1.8,2,1.8,1.9,1.9,1.9,2,1.8,1.7,1.5,1.6
"Unemployment Rate in Milwaukee County, WI",Milwaukee County,Milwaukee,county,WI,WI,55,55079,4.3,4.5,4,3.8,3.8,4.7,4.4,4.6,3.9,3.5,3.4,3.1,3.4,3.7,3.6,3.4,3.4,4.5,4.2,4,3.6,3.4,3.2,3.1,4,3.9,4,3.5,3.7,4.5,4.5,4.3,3.6,3.3,3.4,3.2,3.8,3.7,4.2,15.5,13.2,12.2,11.3,9,8.4,7,6.5,6.3,6.6,6.8,6.6,6.5,5.7,6.8,6,5.5,4.4,3.7,3.4,3.3,4.2,4.4,4,3.7,3.5,4.2,4.1,4,3.2,3,2.9,2.6,3.3,3.7,3.5,3.3,3.7,4.4,4.2,4.4,3.8,3.6,3.6,3.5
"Unemployment Rate in Montgomery County, MD",Montgomery County,Montgomery,county,MD,MD,24,24031,3.4,3.3,3,2.7,3.1,3.5,3.5,3.3,3.1,3.2,3.2,2.8,3.5,3.4,3.3,2.8,3,3.6,3.3,2.9,2.8,2.9,2.7,2.6,3.4,3.1,3,2.4,2.6,3.1,3.1,2.7,2.5,2.6,2.4,2.3,2.8,2.8,3.3,7.5,8.5,8,7.8,6.8,6.8,6.4,6.2,6,6.1,6.1,5.8,5.5,5.4,5.9,5.5,5.2,4.2,3.8,3.5,2.8,3.2,3.2,2.9,2.4,2.6,3.2,2.9,2.9,2.4,2.5,2.2,1.9,2.1,2.2,1.8,1.3,1.6,1.8,2,2,1.9,2,1.8,1.8
"Unemployment Rate in Montgomery County, OH",Montgomery County,Montgomery,county,OH,OH,39,39113,5.9,5.6,4.9,4.5,4.6,5.2,5.1,4.9,4.5,4.4,4.4,4.4,5,4.9,4.5,4.3,4.3,5.1,4.8,4.4,4.2,4.3,4.1,4.5,5,4.5,4.1,3.6,3.8,4.5,4.7,4.4,4.2,4.3,3.9,4,4.9,4.5,5.1,16.2,14.4,12,10.9,8.8,8.5,7,6.3,6.3,7.3,7,6.7,6.3,5.8,6.5,5.9,5.3,4.8,4.3,3.9,3.6,4.7,4.4,4,3.7,3.7,4.5,4.5,4.4,4,4,3.7,3.6,4.3,4.2,4,3.4,3.6,4,3.9,4,3.8,3.7,3.4,3.3
"Unemployment Rate in New York County, NY",New York County,New York,county,NY,NY,36,36000,4.5,4.4,3.9,3.7,3.9,4,4.3,4.3,4,3.9,3.6,3.6,4.1,4,3.8,3.5,3.2,3.8,3.8,3.8,3.5,3.6,3.4,3.6,4.3,3.9,3.6,3.3,3.4,3.5,3.7,3.6,3.2,3.4,3.2,3,3.6,3.7,4.7,9,16.3,13.2,13.5,11.7,11.2,10.3,9.7,9.3,9.8,9.5,8.7,8.5,7.8,8.4,8.1,7.8,6.8,6.5,5.9,5.8,6.2,5.7,5.1,4.6,4.4,4.7,4.5,4.3,3.8,4.1,4.1,4.1,4.6,4.8,4.5,4.1,4.4,4.7,4.7,4.9,4.6,4.9,4.4,4.5
"Unemployment Rate in New York County, NY",New York County,New York,county,NY,NY,36,36061,4.5,4.4,3.9,3.7,3.9,4,4.3,4.3,4,3.9,3.6,3.6,4.1,4,3.8,3.5,3.2,3.8,3.8,3.8,3.5,3.6,3.4,3.6,4.3,3.9,3.6,3.3,3.4,3.5,3.7,3.6,3.2,3.4,3.2,3,3.6,3.7,4.7,9,16.3,13.2,13.5,11.7,11.2,10.3,9.7,9.3,9.8,9.5,8.7,8.5,7.8,8.4,8.1,7.8,6.8,6.5,5.9,5.8,6.2,5.7,5.1,4.6,4.4,4.7,4.5,4.3,3.8,4.1,4.1,4.1,4.6,4.8,4.5,4.1,4.4,4.7,4.7,4.9,4.6,4.9,4.4,4.5
"Unemployment Rate in Oakland County, MI",Oakland County,Oakland,county,MI,MI,26,26125,4.3,3.9,3.6,2.7,2.8,3.2,3.8,4,3.8,3.5,3.3,3.5,3.8,3.8,3.6,3,2.9,3.5,3.7,3.3,3.3,3.3,3,3.3,3.6,3.5,3.8,3.1,3.3,3.6,3.9,3.7,3.3,2.9,2.8,2.8,3.1,2.8,3.6,18.7,19.4,14.8,12.6,9.3,8.3,6.6,6,6.2,5.6,5.2,5.4,4.7,4.7,5.4,5.2,4.8,4.2,3.7,3.2,3.2,3.8,3.4,3.2,2.7,3.1,3.2,2.8,3,2.8,2.8,2.6,2.6,3.2,2.9,2.5,1.9,2.8,3.2,3.3,3.4,3.2,3.2,2.7,2.6
"Unemployment Rate in Orange County, CA",Orange County,Orange,county,CA,CA,6,6059,4,3.8,3.7,3.4,3.2,3.8,4,3.9,3.3,3.2,3.1,3,3.2,3.1,2.9,2.7,2.6,3.2,3.2,3.2,2.9,2.9,2.8,2.8,3.3,3,3,2.5,2.5,3,3.1,3,2.6,2.7,2.7,2.5,2.9,2.8,4.1,14.5,15.1,13.1,12.3,10.2,9.5,8.1,7.6,7.6,7.7,7.2,6.9,6.7,6.2,6.9,6.4,6,5,4.8,4.3,3.8,4.2,3.7,3.3,2.9,2.7,3.2,3.2,3.3,2.9,3,3.1,2.8,3.4,3.4,3.3,2.9,3.1,3.6,3.6,4,3.8,3.9,3.8,3.8
"Unemployment Rate in Orange County, FL",Orange County,Orange,county,FL,FL,12,12095,4.5,4,3.8,3.6,3.6,4,4.1,4.1,3.7,3.6,3.6,3.4,3.8,3.5,3.3,3.1,3.1,3.6,3.6,3.5,3.1,3.1,3,3,3.5,3,3,2.7,2.9,3.2,3.3,3.2,3,2.9,2.7,2.5,2.9,2.5,4.1,16.9,23.2,19.6,17.7,12.4,11.3,9,8,7.1,7,6.2,5.8,5.6,5.5,5.9,5.3,5,4.6,4.2,3.9,3.4,3.9,3.4,3,2.8,2.8,3.1,3,3,2.7,2.8,2.7,2.4,2.8,2.6,2.6,2.3,2.7,3,3,3.2,3,3.1,2.9,2.8
"Unemployment Rate in Ottawa County, MI",Ottawa County,Ottawa,county,MI,MI,26,26139,3.7,3.4,3.1,2.5,2.9,3.3,4.1,3.6,3.3,2.9,3,3,3.4,3.4,3,2.6,2.5,3,3.3,2.7,2.6,2.5,2.3,2.6,3,3,3.2,2.5,2.8,3.2,3.6,3,2.7,2.2,2.1,2.2,2.6,2.4,3.1,19.3,13.8,10.5,9.1,6.5,5.5,4.1,4,4.7,4.7,4.6,4.8,4.1,4.5,4.8,4.7,4,3.5,3,2.6,2.9,3.5,3.3,3.3,2.9,3.4,3.7,3.6,3.4,3.1,3,2.8,2.8,3.3,3.3,3.1,2.4,3.2,3.3,3.5,3.4,3.1,2.9,2.5,2.7
